1772764576.8381262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.8479717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.8572795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.867307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.877263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.887871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.8971405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9071796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9178507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9277844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9371333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9479809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9574382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9677896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9779782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764576.9883084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0038333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0074465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0180151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.027241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0379913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0478952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0581772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0674584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0776303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.087914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.0976903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.1076558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.117572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.128144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.1370528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.147215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.1571417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.1675856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.1776106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1772764577.1871006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
